Id,Label,Modularity_Class,Pageranks,Filter,Level1,Liste2,25nisan,X,Y,Size,Color
8566714538,,17,1.5E-05,false,,,,0.353244,0.567872,0.001847,#ffedad
,,,,,,,,,,,
9360393837,,19,1.4E-05,false,,,,0.289118,0.735833,0.001334,#ffd3ff
,,,,,,,,,,,
1072782981,modamerve,19,1.8E-05,true,,,,0.350701,0.769508,0.00532,#ffd3ff
,,,,,,,,,,,
6316104629,,34,1.5E-05,false,,,,0.313669,0.557231,0.00207,#ff9891
,,,,,,,,,,,
7209939926,,34,1.7E-05,false,,,,0.351359,0.527436,0.004035,#ff9891
,,,,,,,,,,,
26274629142,,34,1.5E-05,false,,,,0.219979,0.523746,0.00226,#ff9891
,,,,,,,,,,,
7521395604,,34,1.7E-05,false,,,,0.354561,0.634213,0.004518,#ff9891
,,,,,,,,,,,
47459635675,,17,1.4E-05,false,,,,0.264015,0.618766,0.000649,#ffedad
,,,,,,,,,,,
264299068,,34,1.7E-05,false,,,,0.322161,0.514791,0.003865,#ff9891
,,,,,,,,,,,
4481190974,,34,1.4E-05,false,,,,0.312455,0.543939,0.000856,#ff9891
,,,,,,,,,,,
47480227708,,17,1.4E-05,false,,,,0.321488,0.53371,0.000622,#ffedad
,,,,,,,,,,,
54924125719,,17,1.4E-05,false,,,,0.28381,0.647651,0.001301,#ffedad
,,,,,,,,,,,
58663378108,,17,1.4E-05,false,,,,0.333307,0.513909,0.000515,#ffedad
,,,,,,,,,,,
1980475805,,17,1.4E-05,false,,,,0.287515,0.574383,0.000678,#ffedad
,,,,,,,,,,,
46086046999,,34,1.4E-05,false,,,,0.390519,0.488327,0.00115,#ff9891
,,,,,,,,,,,
280769156,drsinanogan,34,1.9E-05,true,,,,0.405653,0.508364,0.006537,#ff9891
,,,,,,,,,,,
57308853815,,17,1.3E-05,false,,,,0.301928,0.554618,0.000258,#ffedad
,,,,,,,,,,,
7692145552,,27,1.5E-05,false,,,,0.346657,0.589053,0.00199,#e69cbb
,,,,,,,,,,,
9256842962,,34,1.5E-05,false,,,,0.350259,0.593496,0.002226,#ff9891
,,,,,,,,,,,
296436341,,19,1.4E-05,false,,,,0.34383,0.797555,0.000983,#ffd3ff
,,,,,,,,,,,
8085028763,,19,1.4E-05,false,,,,0.278525,0.766651,0.000844,#ffd3ff
,,,,,,,,,,,
38691491220,,18,1.5E-05,false,,,,0.315269,0.543144,0.001671,#a5d0bc
,,,,,,,,,,,
3978917754,kagittahta,20,2.1E-05,true,,,,0.379113,0.606386,0.008714,#ffbad4
,,,,,,,,,,,
4680102508,,34,1.4E-05,false,,,,0.262973,0.606134,0.001056,#ff9891
,,,,,,,,,,,
57423448673,,4,1.3E-05,false,,,,0.285729,0.713038,0.000381,#ffd78a
,,,,,,,,,,,
42272083576,,5,1.3E-05,false,,,,0.455295,0.565199,0.000387,#b9b0aa
,,,,,,,,,,,
12285237129,,27,1.3E-05,false,,,,0.260483,0.66958,0.000278,#e69cbb
,,,,,,,,,,,
9464760067,100de100saglik,17,2.4E-05,true,,,,0.322566,0.59101,0.011996,#ffedad
,,,,,,,,,,,
53740942041,,46,1.4E-05,false,,,,0.359668,0.677578,0.000992,#ffe3ff
,,,,,,,,,,,
25098931577,,19,1.4E-05,false,,,,0.329191,0.736411,0.001522,#ffd3ff
,,,,,,,,,,,
46472891423,,19,1.6E-05,false,,,,0.404062,0.702806,0.003279,#ffd3ff
,,,,,,,,,,,
1940416962,,19,1.5E-05,false,,,,0.338149,0.758373,0.002439,#ffd3ff
,,,,,,,,,,,
52300544743,,34,1.5E-05,false,,,,0.343157,0.552687,0.002566,#ff9891
,,,,,,,,,,,
6501701933,,34,1.5E-05,false,,,,0.254161,0.596442,0.001985,#ff9891
,,,,,,,,,,,
7763097398,,34,1.6E-05,false,,,,0.293921,0.563607,0.002757,#ff9891
,,,,,,,,,,,
9409460477,karadenizin_harikalari,34,1.8E-05,true,,,,0.35245,0.537153,0.005172,#ff9891
,,,,,,,,,,,
54023579607,,34,1.5E-05,false,,,,0.30089,0.641276,0.001571,#ff9891
,,,,,,,,,,,
195699894,,17,1.6E-05,false,,,,0.489147,0.60466,0.002608,#ffedad
,,,,,,,,,,,
41457853385,,17,1.4E-05,false,,,,0.262887,0.652668,0.001415,#ffedad
,,,,,,,,,,,
8245116978,av.bilalyavuz,17,2.6E-05,true,,,,0.394973,0.577799,0.014043,#ffedad
,,,,,,,,,,,
2831134245,,41,1.7E-05,false,,,,0.386614,0.509872,0.003933,#7ab992
,,,,,,,,,,,
10138479957,,17,1.5E-05,false,,,,0.326176,0.44017,0.001766,#ffedad
,,,,,,,,,,,
31144833073,,19,1.4E-05,false,,,,0.286958,0.758218,0.001239,#ffd3ff
,,,,,,,,,,,
30890761549,,19,1.5E-05,false,,,,0.366828,0.68756,0.002391,#ffd3ff
,,,,,,,,,,,
22251211669,,17,1.4E-05,false,,,,0.22134,0.588053,0.000999,#ffedad
,,,,,,,,,,,
